TID,ES,EN
play,Jugar,Play
settings,Configuración,Settings
credits,Créditos,Credits
gameover,Fin del juego,Game Over
play_again,Jugar de nuevo,Play again
back_to_home,Volver atras,Back to home
pause,Pausa,Pause
resume,Continuar,Resume
vamos,Vamos!,Let's Go!
listo,Listo,Ready
win,Ganaste!!!,A winner is you!
nombre_juego,Volver a la botella,Back to the bottle
tuto1,AD o flechas para moverte,AD or Arrows to move
tuto2,Space para saltar,Space to Jump
tuto3,W o Arriba para trepar una pared,W or Up to climp a wall
